market,latitude,longitude,year,month,temperature_mean,rainfall_monthly,humidity_mean
Agra,27.18,78.02,1998,10,25.59,1.68,65.04
Agra,27.18,78.02,1998,11,20.98,0.2,46.22
Agra,27.18,78.02,1998,12,16.6,0.0,36.21
Agra,27.18,78.02,1999,1,14.79,0.49,45.3
Agra,27.18,78.02,1999,2,19.4,0.05,34.32
Agra,27.18,78.02,1999,3,25.63,0.0,16.38
Agra,27.18,78.02,1999,4,32.58,0.0,8.73
Agra,27.18,78.02,1999,5,36.45,0.25,18.71
Agra,27.18,78.02,1999,6,37.52,0.54,28.15
Agra,27.18,78.02,1999,7,34.51,6.19,51.09
Agra,27.18,78.02,1999,8,29.91,6.29,72.88
Agra,27.18,78.02,1999,9,28.73,3.5,75.4
Agra,27.18,78.02,1999,10,26.26,0.37,47.33
Agra,27.18,78.02,1999,11,21.73,0.0,28.38
Agra,27.18,78.02,1999,12,17.28,0.01,22.23
Agra,27.18,78.02,2000,1,16.29,0.21,27.44
Agra,27.18,78.02,2000,2,16.79,0.09,29.55
Agra,27.18,78.02,2000,3,23.95,0.06,15.8
Agra,27.18,78.02,2000,4,33.01,0.12,11.72
